store_id,name_data,location,star,review,pop_score,price,access,address,review_URL,collect,link_detail
27132700,ワダリドリ,"
              心斎橋駅 419m (長堀橋駅 209m) / 焼き鳥・串焼・鳥料理(焼き鳥)、居酒屋、鍋
            ",3.05,15.0,8.456395602831332,3000.0,"
              心斎橋駅3分◆落ち着きのあるお洒落な空間で、朝引き鶏の炭火焼鳥と串焼きを堪能
            ","
                大阪府大阪市中央区東心斎橋1-7-25 デップ心斎橋 1F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",https://tabelog.com/osaka/A2701/A270201/27132700/dtlrvwlst/,715人,https://tabelog.com/osaka/A2701/A270201/27132700/#title-rstdata
27014669,和座わざ," 心斎橋駅 396m / 焼き鳥・串焼・鳥料理(焼き鳥)、居酒屋、焼き鳥・串焼・鳥料理(鳥料理)
            ",3.3,85.0,14.699346077636573,6000.0,"
              心斎橋駅徒歩5分― わざわざ行きたい焼き鳥の銘店。播州百日どり活きる、拘り詰まった串焼き。
            ","
                大阪府大阪市中央区博労町3-3-13 

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",https://tabelog.com/osaka/A2701/A270201/27014669/dtlrvwlst/,7340人,https://tabelog.com/osaka/A2701/A270201/27014669/#title-rstdata
27013316,備長炭やきとり SASAYA 心斎橋本店,"
              心斎橋駅 390m (長堀橋駅 217m) / 焼き鳥・串焼・鳥料理(焼き鳥)、ワインバー、郷土料理
            ",3.34,80.0,14.677460176605946,3000.0,"
              【心斎橋駅 から徒歩3分】朝の4時まで営業‼本格焼鳥屋
            ","
                大阪府大阪市中央区東心斎橋1-13-9 

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",https://tabelog.com/osaka/A2701/A270201/27013316/dtlrvwlst/,4364人,https://tabelog.com/osaka/A2701/A270201/27013316/#title-rstdata
27111775,酔処食堂 ippon," 心斎橋駅 167m / 居酒屋、焼き鳥・串焼・鳥料理(焼き鳥)、焼き鳥・串焼・鳥料理(串焼き)
            ",3.2,76.0,13.90017734993179,4000.0,"
              大人の隠れ家空間で、串と飯と酒を楽しむ。
            ","
                大阪府大阪市中央区心斎橋筋1-2-7 LERIFA心斎橋 2F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",https://tabelog.com/osaka/A2701/A270201/27111775/dtlrvwlst/,7136人,https://tabelog.com/osaka/A2701/A270201/27111775/#title-rstdata
27136664,焼鳥 ぼんぞ 心斎橋店," 心斎橋駅 466m / 焼き鳥・串焼・鳥料理(焼き鳥)、居酒屋、焼き鳥・串焼・鳥料理(鳥料理)
            ",3.53,158.0,17.893231833837415,4000.0,"
              TVでも紹介された人気店が遂に心斎橋に…【宮崎直送】幻の地頭鶏を炭火焼きや刺身で！半個室有
            ","
                大阪府大阪市中央区東心斎橋2-8-19 サザンダイヤビル 1F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",https://tabelog.com/osaka/A2701/A270201/27136664/dtlrvwlst/,10692人,https://tabelog.com/osaka/A2701/A270201/27136664/#title-rstdata
,素揚げ酒場 大阪あげ鳥 一 本町・心斎橋,"
              心斎橋駅 493m (本町駅 283m) / 居酒屋、水炊き、焼き鳥・串焼・鳥料理(鳥料理)
            ",3.16,24.0,10.171647606583514,3000.0,"
              【本町・心斎橋】☆大阪初の素揚げ酒場。☆14名から貸切可能☆博多風水炊き☆朝引き鳥、ひな鳥
            ","
                大阪府大阪市中央区南久宝寺町4-4-1 クリエ本町ビル 1F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",https://tabelog.com/osaka/A2701/A270106/27113324/dtlrvwlst/,1479人,https://tabelog.com/osaka/A2701/A270106/27113324/#title-rstdata
27120687,うっとり酒場 新町店,"
              心斎橋駅 434m (四ツ橋駅 286m) / 焼き鳥・串焼・鳥料理(焼き鳥)、居酒屋、焼き鳥・串焼・鳥料理(鳥料理)
            ",3.13,30.0,10.748379950038508,3000.0,"
              宴会最大35名OK！鮮度抜群の生鶏◎厳選仕入れの鶏刺しや生肝をご堪能ください店内喫煙OK◎
            ","
                大阪府大阪市西区新町1-8-19 

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",https://tabelog.com/osaka/A2701/A270201/27120687/dtlrvwlst/,948人,https://tabelog.com/osaka/A2701/A270201/27120687/#title-rstdata
27077145,口八町 心斎橋店,"
              心斎橋駅 435m (長堀橋駅 429m) / 居酒屋、焼き鳥・串焼・鳥料理(焼き鳥)、ダイニングバー
            ",3.09,32.0,10.804208364931423,3000.0,"
              幹事さん必見！歓送迎会はお得な飲み放題付コースで♪絶品”炭火焼鳥＆炎の手羽唐”は必食☆
            ","
                大阪府大阪市中央区東心斎橋2-8-30 

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",https://tabelog.com/osaka/A2701/A270201/27077145/dtlrvwlst/,342人,https://tabelog.com/osaka/A2701/A270201/27077145/#title-rstdata
27130228,心斎橋の美味しい焼鳥 音鶏家 心斎橋店,"
              心斎橋駅 352m (長堀橋駅 305m) / 焼き鳥・串焼・鳥料理(焼き鳥)、居酒屋、ワインバー
            ",3.08,15.0,8.539573264498527,3000.0,"
              【心斎橋駅・長堀橋駅徒歩5分】高コスパ◎ボリューム満点の炭火焼鳥が自慢！各種コースご用意
            ","
                大阪府大阪市中央区東心斎橋1-14-21 川村ビル 1F北

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",https://tabelog.com/osaka/A2701/A270201/27130228/dtlrvwlst/,1418人,https://tabelog.com/osaka/A2701/A270201/27130228/#title-rstdata
27131837,鶏焼肉 勘吉,"
              心斎橋駅 283m (長堀橋駅 282m) / 焼き鳥・串焼・鳥料理(鳥料理)、居酒屋、焼肉
            ",3.07,13.0,8.101906001918843,4000.0,"
              【心斎橋駅3分】新鮮な朝挽き鶏を使った刺身や鶏焼肉をたっぷり堪能！飲み会など幅広い用途に◎
            ","
                大阪府大阪市中央区東心斎橋1-18-1 ベストプラザビル 4F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",https://tabelog.com/osaka/A2701/A270201/27131837/dtlrvwlst/,674人,https://tabelog.com/osaka/A2701/A270201/27131837/#title-rstdata
